Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200857,PDGF-BB,45040,100,ng/ml,30,minute,pAkt,484.848
50576-2,184B5,200857,PDGF-BB,45248,1,ng/ml,90,minute,pAkt,459.972
50576-2,184B5,200857,PDGF-BB,45296,100,ng/ml,90,minute,pAkt,450.055
50576-2,184B5,200857,PDGF-BB,44696,1,ng/ml,10,minute,pErk,1277.522
50576-2,184B5,200857,PDGF-BB,44911,100,ng/ml,10,minute,pErk,1104.547
50576-2,184B5,200857,PDGF-BB,44915,1,ng/ml,30,minute,pErk,926.587
50576-2,184B5,200857,PDGF-BB,44815,100,ng/ml,30,minute,pErk,888.537
50576-2,184B5,200857,PDGF-BB,44867,1,ng/ml,90,minute,pErk,1274.166
50576-2,184B5,200857,PDGF-BB,44895,100,ng/ml,90,minute,pErk,1314.827
50576-2,184B5,200857,PDGF-BB,45960,1,ng/ml,10,minute,pJnk,72.939
50576-2,184B5,200857,PDGF-BB,46036,100,ng/ml,10,minute,pJnk,80.959
50576-2,184B5,200857,PDGF-BB,45908,1,ng/ml,30,minute,pJnk,71.124
50576-2,184B5,200857,PDGF-BB,45844,100,ng/ml,30,minute,pJnk,71.644
50576-2,184B5,200857,PDGF-BB,46004,1,ng/ml,90,minute,pJnk,61.136
50576-2,184B5,200857,PDGF-BB,46111,100,ng/ml,90,minute,pJnk,70.725
50576-2,184B5,200857,PDGF-BB,45427,1,ng/ml,10,minute,pP38,204.336
50576-2,184B5,200857,PDGF-BB,45515,100,ng/ml,10,minute,pP38,206.386
50576-2,184B5,200857,PDGF-BB,45491,1,ng/ml,30,minute,pP38,205.783
50576-2,184B5,200857,PDGF-BB,45447,100,ng/ml,30,minute,pP38,209.094
50576-2,184B5,200857,PDGF-BB,45587,1,ng/ml,90,minute,pP38,201.965
50576-2,184B5,200857,PDGF-BB,45691,100,ng/ml,90,minute,pP38,196.853
50576-2,184B5,200859,SCF,45328,1,ng/ml,10,minute,pAkt,451.107
50576-2,184B5,200859,SCF,45212,100,ng/ml,10,minute,pAkt,96.211
50576-2,184B5,200859,SCF,45108,1,ng/ml,30,minute,pAkt,463.074
50576-2,184B5,200859,SCF,45048,100,ng/ml,30,minute,pAkt,460.808
